Date,Region,Malades
2020-06-12,Fatick,4
2020-06-14,Fatick,4
2020-06-15,Fatick,5
2020-06-16,Fatick,6
2020-06-17,Fatick,8
2020-06-18,Fatick,9
2020-06-19,Fatick,15
2020-06-20,Fatick,18
2020-06-21,Fatick,18
2020-06-22,Fatick,20
2020-06-23,Fatick,20
2020-06-24,Fatick,20
2020-06-25,Fatick,20
2020-06-26,Fatick,23
2020-06-27,Fatick,25
2020-06-28,Fatick,25
2020-06-29,Fatick,26
2020-06-30,Fatick,26
2020-07-01,Fatick,27
2020-07-02,Fatick,27
2020-07-03,Fatick,28
2020-07-04,Fatick,28
2020-07-05,Fatick,35
2020-07-06,Fatick,38
2020-07-07,Fatick,38
2020-07-08,Fatick,40
2020-07-09,Fatick,40
2020-07-10,Fatick,40
2020-07-11,Fatick,40
2020-07-12,Fatick,41
2020-07-13,Fatick,42
2020-07-14,Fatick,42
2020-07-15,Fatick,44
2020-07-16,Fatick,44
2020-07-17,Fatick,44
2020-07-20,Fatick,44
2020-07-21,Fatick,44
2020-07-22,Fatick,45
2020-07-23,Fatick,45
2020-07-24,Fatick,46
2020-07-25,Fatick,46
2020-07-26,Fatick,46
2020-07-28,Fatick,47
2020-07-29,Fatick,48
2020-07-30,Fatick,48
2020-08-02,Fatick,48
2020-08-04,Fatick,49
2020-08-05,Fatick,50
2020-08-07,Fatick,52
2020-08-09,Fatick,54
2020-08-10,Fatick,54
2020-08-11,Fatick,54
2020-08-12,Fatick,55
2020-08-14,Fatick,56
2020-08-16,Fatick,56
2020-08-17,Fatick,57
2020-08-18,Fatick,57
2020-08-19,Fatick,57
2020-08-20,Fatick,58
2020-08-21,Fatick,61
2020-08-22,Fatick,62
2020-08-23,Fatick,65
2020-08-24,Fatick,69
2020-08-25,Fatick,69
2020-08-26,Fatick,72
2020-08-27,Fatick,78
2020-08-28,Fatick,79
2020-08-30,Fatick,86
2020-08-31,Fatick,86
2020-09-01,Fatick,86
2020-09-02,Fatick,87
2020-09-03,Fatick,89
2020-09-04,Fatick,89
2020-09-05,Fatick,90
2020-09-06,Fatick,91
2020-09-07,Fatick,91
2020-09-08,Fatick,91
2020-09-09,Fatick,91
2020-09-10,Fatick,92
2020-09-11,Fatick,92
2020-09-12,Fatick,92
2020-09-13,Fatick,93
2020-09-14,Fatick,93
2020-09-15,Fatick,93
2020-09-16,Fatick,93
2020-09-17,Fatick,93
2020-09-18,Fatick,93
2020-09-19,Fatick,94
2020-09-20,Fatick,302
2020-09-21,Fatick,302
2020-09-22,Fatick,302
2020-09-23,Fatick,303
2020-09-24,Fatick,303
2020-09-27,Fatick,305
2020-09-28,Fatick,305
2020-09-29,Fatick,308
2020-09-30,Fatick,310
2020-10-01,Fatick,310
2020-10-02,Fatick,311
2020-10-04,Fatick,311
2020-10-07,Fatick,311
2020-10-08,Fatick,312
2020-10-11,Fatick,313
2020-10-12,Fatick,313
2020-10-14,Fatick,313
2020-10-16,Fatick,314
2020-10-17,Fatick,314
2020-10-19,Fatick,314
2020-10-20,Fatick,314
2020-03-29,Kaffrine,0
2020-03-31,Kaffrine,0
2020-04-01,Kaffrine,0
2020-04-02,Kaffrine,0
2020-04-03,Kaffrine,0
2020-04-04,Kaffrine,0
2020-04-05,Kaffrine,0
2020-04-06,Kaffrine,0
2020-04-07,Kaffrine,0
2020-04-08,Kaffrine,0
2020-04-09,Kaffrine,0
2020-04-10,Kaffrine,0
2020-04-14,Kaffrine,0
2020-04-15,Kaffrine,0
2020-04-16,Kaffrine,0
2020-04-17,Kaffrine,0
2020-04-18,Kaffrine,0
2020-04-19,Kaffrine,0
2020-04-20,Kaffrine,0
2020-04-21,Kaffrine,0
2020-04-22,Kaffrine,0
2020-04-23,Kaffrine,0
2020-04-24,Kaffrine,0
2020-04-25,Kaffrine,0
2020-04-26,Kaffrine,0
2020-04-27,Kaffrine,0
2020-04-28,Kaffrine,0
2020-04-29,Kaffrine,0
2020-04-30,Kaffrine,0
2020-05-01,Kaffrine,0
2020-05-02,Kaffrine,0
2020-05-03,Kaffrine,0
2020-05-04,Kaffrine,0
2020-05-05,Kaffrine,0
2020-05-06,Kaffrine,0
2020-05-07,Kaffrine,0
2020-05-08,Kaffrine,0
2020-05-09,Kaffrine,0
2020-05-10,Kaffrine,0
2020-05-11,Kaffrine,0
2020-05-12,Kaffrine,0
2020-05-13,Kaffrine,0
2020-05-14,Kaffrine,0
2020-05-15,Kaffrine,0
2020-05-16,Kaffrine,0
2020-05-17,Kaffrine,0
2020-05-18,Kaffrine,0
2020-05-19,Kaffrine,0
2020-05-20,Kaffrine,0
2020-05-21,Kaffrine,0
2020-05-22,Kaffrine,0
2020-05-23,Kaffrine,0
2020-05-24,Kaffrine,0
2020-05-25,Kaffrine,0
2020-05-26,Kaffrine,0
2020-05-27,Kaffrine,0
2020-05-28,Kaffrine,0
2020-05-29,Kaffrine,0
2020-05-30,Kaffrine,1
2020-05-31,Kaffrine,2
2020-06-01,Kaffrine,2
2020-06-02,Kaffrine,2
2020-06-03,Kaffrine,3
2020-06-04,Kaffrine,3
2020-06-05,Kaffrine,3
2020-06-07,Kaffrine,3
2020-06-08,Kaffrine,3
2020-06-09,Kaffrine,3
2020-06-10,Kaffrine,3
2020-06-11,Kaffrine,4
2020-06-12,Kaffrine,4
2020-06-14,Kaffrine,4
2020-06-15,Kaffrine,4
2020-06-16,Kaffrine,4
2020-06-17,Kaffrine,4
2020-06-18,Kaffrine,4
2020-06-19,Kaffrine,4
2020-06-20,Kaffrine,4
2020-06-21,Kaffrine,4
2020-06-22,Kaffrine,4
2020-06-23,Kaffrine,4
2020-06-24,Kaffrine,4
2020-06-25,Kaffrine,4
2020-06-26,Kaffrine,4
2020-06-27,Kaffrine,4
2020-06-28,Kaffrine,5
2020-06-29,Kaffrine,5
2020-06-30,Kaffrine,5
2020-07-01,Kaffrine,5
2020-07-02,Kaffrine,5
2020-07-03,Kaffrine,6
2020-07-04,Kaffrine,6
2020-07-05,Kaffrine,8
2020-07-06,Kaffrine,8
2020-07-07,Kaffrine,8
2020-07-08,Kaffrine,8
2020-07-09,Kaffrine,8
2020-07-10,Kaffrine,8
2020-07-11,Kaffrine,8
2020-07-12,Kaffrine,8
2020-07-13,Kaffrine,8
2020-07-14,Kaffrine,8
2020-07-15,Kaffrine,8
2020-07-16,Kaffrine,8
2020-07-17,Kaffrine,8
2020-07-20,Kaffrine,9
2020-07-21,Kaffrine,9
2020-07-22,Kaffrine,9
2020-07-23,Kaffrine,9
2020-07-24,Kaffrine,10
2020-07-25,Kaffrine,10
2020-07-26,Kaffrine,10
2020-07-28,Kaffrine,10
2020-07-29,Kaffrine,10
2020-07-30,Kaffrine,10
2020-08-02,Kaffrine,10
2020-08-04,Kaffrine,10
2020-08-05,Kaffrine,11
2020-08-07,Kaffrine,11
2020-08-09,Kaffrine,13
2020-08-10,Kaffrine,14
2020-08-11,Kaffrine,14
2020-08-12,Kaffrine,14
2020-08-14,Kaffrine,14
2020-08-16,Kaffrine,14
2020-08-17,Kaffrine,14
2020-08-18,Kaffrine,14
2020-08-19,Kaffrine,14
2020-08-20,Kaffrine,14
2020-08-21,Kaffrine,14
2020-08-22,Kaffrine,14
2020-08-23,Kaffrine,14
2020-08-24,Kaffrine,14
2020-08-25,Kaffrine,14
2020-08-26,Kaffrine,14
2020-08-27,Kaffrine,14
2020-08-28,Kaffrine,14
2020-08-30,Kaffrine,14
2020-08-31,Kaffrine,14
2020-09-01,Kaffrine,14
2020-09-02,Kaffrine,14
2020-09-03,Kaffrine,14
2020-09-04,Kaffrine,14
2020-09-05,Kaffrine,14
2020-09-06,Kaffrine,14
2020-09-07,Kaffrine,14
2020-09-08,Kaffrine,14
2020-09-09,Kaffrine,14
2020-09-10,Kaffrine,14
2020-09-11,Kaffrine,14
2020-09-12,Kaffrine,15
2020-09-13,Kaffrine,15
2020-09-14,Kaffrine,15
2020-09-15,Kaffrine,15
2020-09-16,Kaffrine,17
2020-09-17,Kaffrine,17
2020-09-18,Kaffrine,19
2020-09-19,Kaffrine,20
2020-09-20,Kaffrine,20
2020-09-21,Kaffrine,20
2020-09-22,Kaffrine,20
2020-09-23,Kaffrine,20
2020-09-24,Kaffrine,20
2020-09-27,Kaffrine,20
2020-09-28,Kaffrine,20
2020-09-29,Kaffrine,20
2020-09-30,Kaffrine,20
2020-10-01,Kaffrine,20
2020-10-02,Kaffrine,20
2020-10-04,Kaffrine,20
2020-10-07,Kaffrine,20
2020-10-08,Kaffrine,20
2020-10-11,Kaffrine,20
2020-10-12,Kaffrine,20
2020-10-14,Kaffrine,20
2020-10-16,Kaffrine,20
2020-10-17,Kaffrine,20
2020-10-19,Kaffrine,20
2020-10-20,Kaffrine,20
2020-03-29,Kaolack,0
2020-03-31,Kaolack,0
2020-04-01,Kaolack,0
2020-04-02,Kaolack,0
2020-04-03,Kaolack,0
2020-04-04,Kaolack,0
2020-04-05,Kaolack,0
2020-04-06,Kaolack,0
2020-04-07,Kaolack,0
2020-04-08,Kaolack,0
2020-04-09,Kaolack,0
2020-04-10,Kaolack,0
2020-04-14,Kaolack,0
2020-04-15,Kaolack,0
2020-04-16,Kaolack,0
2020-04-17,Kaolack,0
2020-04-18,Kaolack,0
2020-04-19,Kaolack,0
2020-04-20,Kaolack,0
2020-04-21,Kaolack,0
2020-04-22,Kaolack,0
2020-04-23,Kaolack,0
2020-04-24,Kaolack,0
2020-04-25,Kaolack,1
2020-04-26,Kaolack,1
2020-04-27,Kaolack,2
2020-04-28,Kaolack,2
2020-04-29,Kaolack,5
2020-04-30,Kaolack,5
2020-05-01,Kaolack,5
2020-05-02,Kaolack,5
2020-05-03,Kaolack,6
2020-05-04,Kaolack,6
2020-05-05,Kaolack,6
2020-05-06,Kaolack,6
2020-05-07,Kaolack,6
2020-05-08,Kaolack,6
2020-05-09,Kaolack,6
2020-05-10,Kaolack,6
